"Circuito                   " ,"DSL      " ,"Transaction Cost " ,"Execution Cost (Deploy) " ,"Execution Cost (Call) " ,"Constraints " ,"Wires   " ,"Proof Size    " ,"Proving Key Size    " ,"Verification Key Size    " ,"R1CS Size         " ,"Compilation Time " ,"Proof Generation Time "
"factorization.circom       " ,"Circom   " ,"          379073 " ,"                 301741 " ,"               189128 " ,"          1 " ,"      4 " ,"    805 bytes " ,"         5.3 Kbytes " ,"              2.9 Kbytes " ,"        264 bytes " ,"          0.012s " ,"               0.642s "
"age_verification.circom    " ,"Circom   " ,"          379109 " ,"                 301741 " ,"               189128 " ,"         12 " ,"     14 " ,"    807 bytes " ,"          18 Kbytes " ,"              2.9 Kbytes " ,"         2 kbytes " ,"          0.023s " ,"               0.627s "
"sha256_verification.circom " ,"Circom   " ,"         5606741 " ,"                5148135 " ,"              1884113 " ,"      31264 " ,"  30957 " ,"    802 bytes " ,"          34 Mbytes " ,"               49 Kbytes " ,"       6.6 Mbytes " ,"          1.729s " ,"               1.261s "
"sudoku.circom              " ,"Circom   " ,"         2036723 " ,"                1838531 " ,"               727535 " ,"       7695 " ,"   7454 " ,"    806 bytes " ,"         9.1 Mbytes " ,"               18 Kbytes " ,"       1.1 Mbytes " ,"          0.133s " ,"               0.817s "
"hamiltonian_cycle.circom   " ,"Circom   " ,"         2427346 " ,"                2200744 " ,"               853828 " ,"        417 " ,"    509 " ,"    806 bytes " ,"         688 Kbytes " ,"               21 Kbytes " ,"        62 Kbytes " ,"          0.055s " ,"                0.76s "
"factorization.zok          " ,"Zokrates " ,"         1154797 " ,"                1021059 " ,"               218115 " ,"          1 " ,"      4 " ,"    849 bytes " ,"         2.1 Kbytes " ,"              1.6 Kbytes " ,"        264 bytes " ,"          0.005s " ,"               0.015s "
"age_verification.zok       " ,"Zokrates " ,"         1154533 " ,"                1020859 " ,"               218115 " ,"        763 " ,"    762 " ,"    849 bytes " ,"         303 Kbytes " ,"              1.6 Kbytes " ,"       123 Kbytes " ,"          0.010s " ,"               0.064s "
"sha256_verification.zok    " ,"Zokrates " ,"         1143043 " ,"                1010245 " ,"               226634 " ,"      48886 " ,"  48575 " ,"    923 bytes " ,"          19 Mbytes " ,"              1.8 Kbytes " ,"        48 Mbytes " ,"          1.918s " ,"               1.061s "
"sudoku.zok                 " ,"Zokrates " ,"         3230248 " ,"                2942622 " ,"               903635 " ,"     104167 " ," 103271 " ,"   6.7 Kbytes " ,"          40 Mbytes " ,"               15 Kbytes " ,"        23 Mbytes " ,"          2.704s " ,"               1.104s "
"hamiltonian_cycle.zok      " ,"Zokrates " ,"         3723265 " ,"                3398985 " ,"              1067636 " ,"      15394 " ,"  15303 " ,"     8 Kbytes " ,"         5.7 Mbytes " ,"               18 Kbytes " ,"       3.1 Mbytes " ,"          0.334s " ,"               0.210s "
"factorization.nr           " ,"Noir     " ,"         2489090 " ,"                2215630 " ,"               373424 " ,"         17 " ,"   None " ,"   2.2 Kbytes " ,"          38 Kbytes " ,"              1.8 Kbytes " ,"             None " ,"          0.170s " ,"               0.107s "
"age_verification.nr        " ,"Noir     " ,"         2488100 " ,"                2214830 " ,"               373814 " ,"         69 " ,"   None " ,"   2.2 Kbytes " ,"         279 Kbytes " ,"              1.8 Kbytes " ,"             None " ,"          0.165s " ,"               0.138s "
"sha256_verification.nr     " ,"Noir     " ,"         2489018 " ,"                2215630 " ,"               381624 " ,"       7834 " ,"   None " ,"   3.1 Kbytes " ,"         277 Mbytes " ,"              1.8 Kbytes " ,"             None " ,"          0.177s " ,"               1.808s "
"sudoku.nr                  " ,"Noir     " ,"         2489078 " ,"                2215630 " ,"               409218 " ,"       9112 " ,"   None " ,"   7.2 Kbytes " ,"          70 Mbytes " ,"              1.8 Kbytes " ,"             None " ,"          0.207s " ,"               0.636s "
"hamiltonian_cycle.nr       " ,"Noir     " ,"         2488666 " ,"                2215430 " ,"               395747 " ,"       5226 " ,"   None " ,"   5.3 Kbytes " ,"          35 Mbytes " ,"              1.8 Kbytes " ,"             None " ,"          0.181s " ,"               0.395s "
